src,dst,count
#방찬,@Stray_Kids,324
#방찬,@jypnation,38
#방찬,@orpheros1003,21
#방찬,@urpr325,11
#방찬,@chanlestiaI,9
#방찬,@HanR00,7
#방찬,@Edelstein9809,6
#방찬,@skizwpp,6
#방찬,@20180325sk,6
#방찬,@_chanpolaris,5
#방찬,@shiningsirius97,5
#방찬,@slsrchng0811,3
#방찬,@yohstraykids326,3
#방찬,@Kilig_1025,3
#방찬,@bchan971003,2
#방찬,@lettera_1025,2
#방찬,@joon_lix,2
#방찬,@seungspuppi,2
#방찬,@hwngmocha,2
#방찬,@summersnow0325,2
#방찬,@Mara75035190,2
#방찬,@nekkioma,2
#방찬,@NEOST8Y,2
#방찬,@yongbokkieSTAY,1
#방찬,@bngchkz,1
#방찬,@Idk_tete,1
#방찬,@HELL3RACHA,1
#방찬,@ilychannieuwu,1
#방찬,@MlNHORIZON,1
#방찬,@__thanxx__,1
#방찬,@skz_rae,1
#방찬,@SANPHRODlTE,1
#방찬,@elenaKIM_777,1
#방찬,@felixille,1
#방찬,@skzsgod,1
#방찬,@BangieChannie,1
#방찬,@chaansdimples,1
#방찬,@208YJI,1
#방찬,@genius_hhj,1
#방찬,@MoonXxxch,1
#방찬,@INTOXIAODI,1
#방찬,@brightfairy_ji,1
#방찬,@sty_BangChan,1
#방찬,@sw_eetmyho_me,1
#방찬,@chrisbestleader,1
#방찬,@linoosomnia,1
#방찬,@korea_genius,1
#방찬,@skzbrillitos,1
#방찬,@hrlychanlix,1
